"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 15 13:56:26 GMT 2023","Mon May 15 13:56:31 GMT 2023","4760","","Validate creating an account","","","","Validate the unsuccesful account creation - Leave required fields empty",""
"passed","Mon May 15 13:56:45 GMT 2023","Mon May 15 13:56:49 GMT 2023","4662","","Validate Search","","","","Validate search functionality - provide a search term",""
"passed","Mon May 15 13:55:57 GMT 2023","Mon May 15 13:56:26 GMT 2023","29171","","Validate creating an account","","","","Verify that the account is created succesfully - Fill in all the required fields",""
