"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun May 07 17:36:18 GMT 2023","Sun May 07 17:36:26 GMT 2023","8206","","Validate Search","","","","Validate search functionality - provide a search term",""
"passed","Sun May 07 17:35:39 GMT 2023","Sun May 07 17:36:02 GMT 2023","22973","","Validate creating an account","","","","Validate the unsuccesful account creation - Leave required fields empty",""
"skipped","Sun May 07 17:35:39 GMT 2023","Sun May 07 17:35:39 GMT 2023","9","","Validate creating an account","","","","Verify that the account is created succesfully - Fill in all the required fields",""
