"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 08 05:18:20 GMT 2023","Mon May 08 05:18:26 GMT 2023","6406","","Validate Search","","","","Validate search functionality - provide a search term",""
"skipped","Mon May 08 05:17:57 GMT 2023","Mon May 08 05:17:57 GMT 2023","7","","Validate creating an account","","","","Verify that the account is created succesfully - Fill in all the required fields",""
"passed","Mon May 08 05:17:57 GMT 2023","Mon May 08 05:18:09 GMT 2023","11828","","Validate creating an account","","","","Validate the unsuccesful account creation - Leave required fields empty",""
