"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun May 07 18:41:40 GMT 2023","Sun May 07 18:41:40 GMT 2023","6","","Validate creating an account","","","","Verify that the account is created succesfully - Fill in all the required fields",""
"passed","Sun May 07 18:41:40 GMT 2023","Sun May 07 18:41:51 GMT 2023","11349","","Validate creating an account","","","","Validate the unsuccesful account creation - Leave required fields empty",""
"failed","Sun May 07 18:42:01 GMT 2023","Sun May 07 18:42:08 GMT 2023","6935","","Validate Search","","","","Validate search functionality - provide a search term",""
