"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 14 22:29:20 GMT 2023","Sun May 14 22:29:28 GMT 2023","7126","","Validate Search","","","","Validate search functionality - provide a search term",""
"passed","Sun May 14 22:28:48 GMT 2023","Sun May 14 22:29:06 GMT 2023","17599","","Validate creating an account","","","","Validate the unsuccesful account creation - Leave required fields empty",""
"skipped","Sun May 14 22:28:48 GMT 2023","Sun May 14 22:28:48 GMT 2023","11","","Validate creating an account","","","","Verify that the account is created succesfully - Fill in all the required fields",""
