"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu May 18 18:55:11 GMT 2023","Thu May 18 18:55:11 GMT 2023","12","","Validate creating an account","","","","Verify that the account is created succesfully - Fill in all the required fields",""
"passed","Thu May 18 18:55:40 GMT 2023","Thu May 18 18:55:52 GMT 2023","12329","","Validate Search","","","","Validate search functionality - provide a search term",""
"passed","Thu May 18 18:55:11 GMT 2023","Thu May 18 18:55:30 GMT 2023","19173","","Validate creating an account","","","","Validate the unsuccesful account creation - Leave required fields empty",""
