"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 22 05:12:06 GMT 2023","Mon May 22 05:12:12 GMT 2023","6437","","Validate creating an account","","","","Validate the unsuccesful account creation - Leave required fields empty",""
"passed","Mon May 22 05:11:35 GMT 2023","Mon May 22 05:12:05 GMT 2023","30061","","Validate creating an account","","","","Verify that the account is created succesfully - Fill in all the required fields",""
"passed","Mon May 22 05:12:24 GMT 2023","Mon May 22 05:12:31 GMT 2023","6003","","Validate Search","","","","Validate search functionality - provide a search term",""
